"","taxId","gi","species","superkingdom","phylum","order","family","genus","kingdom","class","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"13","126268","1253553573","Montipora verrucosa","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631091.1",625,0,0,639,655,1263,1245,639,1263
"14","1263281","873814760","Mecysmauchenius segmentatus","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209128.1",604,0,0,542,558,1145,1127,542,1145
"15","1263283","873814703","Mesarchaea bellavista","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mesarchaea","Metazoa","Arachnida","KP209092.1",604,0,0,542,558,1145,1127,542,1145
"16","126657","1253553607","Pavona cactus","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Pavona","Metazoa","Anthozoa","LT631125.1",602,0,0,560,576,1161,1143,560,1161
"17","1294199","1765898103","Eurytemora carolleeae","Eukaryota","Arthropoda","Calanoida","Temoridae","Eurytemora","Metazoa","Hexanauplia","MN567275.1",610,0,0,498,514,1107,1089,498,1107
"18","130672","636577173","Siderastrea siderea","Eukaryota","Cnidaria","Scleractinia","Siderastreidae","Siderastrea","Metazoa","Anthozoa","KJ483007.1",601,0,0,561,577,1161,1143,561,1161
"19","131158","530279562","Saccharum hybrid cultivar","Eukaryota","Streptophyta","Poales","Poaceae","Saccharum","Viridiplantae","Magnoliopsida","KF184927.1",3292,0,0,27757,27739,24466,24484,24466,27757
"20","1366558","1803250860","Helobdella austinensis","Eukaryota","Annelida","Hirudinida","Glossiphoniidae","Helobdella","Metazoa","Clitellata","MT010331.1",604,0,0,527,543,1130,1112,527,1130
"21","1387073","1253553597","Leptoseris hawaiiensis","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Leptoseris","Metazoa","Anthozoa","LT631115.1",602,0,0,560,576,1161,1143,560,1161
"22","1391135","1253553513","Acropora downingi","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631031.1",653,0,0,550,566,1202,1184,550,1202
"23","1398498","1783230919","Diptilomiopus ligustri","Eukaryota","Arthropoda","Trombidiformes","Diptilomiopidae","Diptilomiopus","Metazoa","Arachnida","MK440010.1",929,0,0,559,575,1487,1469,559,1487
"24","140238","1253553514","Acropora aspera","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631032.1",633,0,0,540,556,1172,1154,540,1172
"25","1415228","700674196","Pycnophyes robustus","Eukaryota","Kinorhyncha","Unassigned","Pycnophyidae","Pycnophyes","Metazoa","Allomalorhagida","LC007053.1",606,0,0,542,558,1147,1129,542,1147
"26","1453485","585865588","Schizoptera sp. CW-2013a","Eukaryota","Arthropoda","Hemiptera","Schizopteridae","Schizoptera","Metazoa","Insecta","KF781226.1",690,0,0,134,150,823,805,134,823
"27","145430","1765903299","Placostylus ambagiosus","Eukaryota","Mollusca","Stylommatophora","Orthalicidae","Placostylus","Metazoa","Gastropoda","MN567951.1",619,0,0,317,333,935,917,317,935
"28","1455033","1253553562","Alveopora spongiosa","Eukaryota","Cnidaria","Scleractinia","Poritidae","Alveopora","Metazoa","Anthozoa","LT631080.1",635,0,0,695,711,1329,1311,695,1329
"29","1462722","586649096","Isoldaia sp. FL-2014","Eukaryota","Arthropoda","Blattodea","Ectobiidae","Isoldaia","Metazoa","Insecta","KF372513.1",383,0,0,518,534,900,882,518,900
"30","1472423","593023982","Archaeorhizomyces borealis","Eukaryota","Ascomycota","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Fungi","Archaeorhizomycetes","KF993708.1",602,0,0,498,514,1099,1081,498,1099
"31","1476835","765098660","Pararchipsocus sp. 3.2.2004.5","Eukaryota","Arthropoda","Psocoptera","Archipsocidae","Pararchipsocus","Metazoa","Insecta","AB919006.1",850,0,0,545,561,1394,1376,545,1394
"32","1485083","608606232","Pellita catalonica","Eukaryota","Discosea","Unassigned","Pellitidae","Pellita","Unassigned","Flabellinia","KF705039.1",671,0,0,666,682,1336,1318,666,1336
"33","1495109","1811401836","Inocybe cacaocolor","Eukaryota","Basidiomycota","Agaricales","Inocybaceae","Inocybe","Fungi","Agaricomycetes","NG_067704.1",606,0,0,540,556,1145,1127,540,1145
"34","1504896","646262527","Silhouettella sp. 259","Eukaryota","Arthropoda","Araneae","Oonopidae","Silhouettella","Metazoa","Arachnida","KF929082.1",604,1,0,110,126,713,695,110,713
"35","1514863","1783140556","Cryphoeca exlineae","Eukaryota","Arthropoda","Araneae","Hahniidae","Cryphoeca","Metazoa","Arachnida","MN590054.1",604,0,0,517,533,1120,1102,517,1120
"36","1514882","1783140557","Dirksia cinctipes","Eukaryota","Arthropoda","Araneae","Hahniidae","Dirksia","Metazoa","Arachnida","MN590055.1",604,0,0,517,533,1120,1102,517,1120
"37","154028","1253553564","Isopora cuneata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Isopora","Metazoa","Anthozoa","LT631082.1",662,0,0,546,562,1207,1189,546,1207
"38","1542149","1810965143","Cymbiodyta imbellis","Eukaryota","Arthropoda","Coleoptera","Hydrophilidae","Cymbiodyta","Metazoa","Insecta","MN117997.1",650,0,0,515,531,1164,1146,515,1164
"39","154325","1253553508","Galaxea astreata","Eukaryota","Cnidaria","Scleractinia","Euphylliidae","Galaxea","Metazoa","Anthozoa","LT631026.1",602,0,0,622,638,1223,1205,622,1223
"40","1549659","690364784","Mikronegeria fuchsiae","Eukaryota","Basidiomycota","Pucciniales","Mikronegeriaceae","Mikronegeria","Fungi","Pucciniomycetes","KJ746826.1",602,0,0,425,441,1026,1008,425,1026
"41","155533","1765903300","Placostylus fibratus","Eukaryota","Mollusca","Stylommatophora","Orthalicidae","Placostylus","Metazoa","Gastropoda","MN567952.1",619,0,0,317,333,935,917,317,935
"42","1564077","700674195","Pycnophyes dentatus","Eukaryota","Kinorhyncha","Unassigned","Pycnophyidae","Pycnophyes","Metazoa","Allomalorhagida","LC007052.1",605,0,0,539,555,1143,1125,539,1143
"43","1564078","927241400","Pycnophyes tubuliferus","Eukaryota","Kinorhyncha","Unassigned","Pycnophyidae","Pycnophyes","Metazoa","Allomalorhagida","LC081130.1",606,0,0,542,558,1147,1129,542,1147
"44","1564079","700674198","Pycnophyes zelinkaei","Eukaryota","Kinorhyncha","Unassigned","Pycnophyidae","Pycnophyes","Metazoa","Allomalorhagida","LC007055.1",605,0,0,542,558,1146,1128,542,1146
"45","156435","1253553524","Acropora listeri","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631042.1",652,0,0,550,566,1201,1183,550,1201
"46","1569443","704001750","Tyrophagus sp. DL-2014","Eukaryota","Arthropoda","Sarcoptiformes","Acaridae","Tyrophagus","Metazoa","Arachnida","KM277818.1",612,0,0,543,559,1154,1136,543,1154
"47","159855","1253553520","Acropora muricata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631038.1",644,0,0,547,563,1190,1172,547,1190
"48","160734","1811248762","Plectropomus leopardus","Eukaryota","Chordata","Perciformes","Serranidae","Plectropomus","Metazoa","Actinopteri","AP022715.1",613,0,0,31978575,31978591,31979187,31979169,31978575,31979187
"49","1654987","821394118","Darbyshirella terrestris","Eukaryota","Evosea","Unassigned","Unassigned","Darbyshirella","Unassigned","Variosea","KP864087.1",789,0,0,523,539,1311,1293,523,1311
"50","1654990","821394119","Darbyshirella sp. Esthw","Eukaryota","Evosea","Unassigned","Unassigned","Darbyshirella","Unassigned","Variosea","KP864088.1",778,0,0,574,590,1351,1333,574,1351
"51","1654991","821394120","Darbyshirella sp. JDgam","Eukaryota","Evosea","Unassigned","Unassigned","Darbyshirella","Unassigned","Variosea","KP864089.1",760,0,0,564,580,1323,1305,564,1323
"52","1654992","821394121","Darbyshirella sp. M68","Eukaryota","Evosea","Unassigned","Unassigned","Darbyshirella","Unassigned","Variosea","KP864090.1",759,0,0,508,524,1266,1248,508,1266
"53","1654993","821394122","Darbyshirella sp. M77","Eukaryota","Evosea","Unassigned","Unassigned","Darbyshirella","Unassigned","Variosea","KP864091.1",797,0,0,524,540,1320,1302,524,1320
"54","1654995","821394123","Ischnamoeba montana","Eukaryota","Evosea","Unassigned","Unassigned","Ischnamoeba","Unassigned","Variosea","KP864092.1",679,0,0,531,547,1209,1191,531,1209
"55","1654997","821394124","Ischnamoeba sp. F4","Eukaryota","Evosea","Unassigned","Unassigned","Ischnamoeba","Unassigned","Variosea","KP864093.1",679,0,0,519,535,1197,1179,519,1197
"56","1654998","821394125","Ischnamoeba sp. FN352","Eukaryota","Evosea","Unassigned","Unassigned","Ischnamoeba","Unassigned","Variosea","KP864094.1",626,0,0,468,484,1093,1075,468,1093
"57","1655001","821394126","Heliamoeba mirabilis","Eukaryota","Evosea","Unassigned","Unassigned","Heliamoeba","Unassigned","Variosea","KP864095.1",615,0,0,496,512,1110,1092,496,1110
"58","1655005","821394128","Arboramoeba reticulata","Eukaryota","Evosea","Unassigned","Unassigned","Arboramoeba","Unassigned","Variosea","KP864097.1",602,0,0,486,502,1087,1069,486,1087
"59","1655008","821394130","Telaepolella sp. Tib190","Eukaryota","Evosea","Unassigned","Flamellidae","Telaepolella","Unassigned","Variosea","KP864099.1",622,0,0,504,520,1125,1107,504,1125
"60","1661937","873814715","Mecysmauchenius chepu","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209098.1",604,0,0,542,558,1145,1127,542,1145
"61","1661938","873814763","Mecysmauchenius fernandez","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209130.1",604,0,0,542,558,1145,1127,542,1145
"62","1661939","873814754","Mecysmauchenius newtoni","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209124.1",604,0,0,543,559,1146,1128,543,1146
"63","1661940","873814781","Mecysmauchenius osorno","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209143.1",604,0,0,542,558,1145,1127,542,1145
"64","1661942","873814705","Mecysmauchenius termas","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209093.1",604,0,0,542,558,1145,1127,542,1145
"65","1661943","873814789","Mecysmauchenius victoria","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209148.1",604,0,0,542,558,1145,1127,542,1145
"66","1661946","873814751","Mecysmauchenioides quetrihue","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenioides","Metazoa","Arachnida","KP209122.1",604,0,0,542,558,1145,1127,542,1145
"67","1661947","873814734","Mecysmauchenioides nordenskjoldi","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenioides","Metazoa","Arachnida","KP209110.1",604,0,0,542,558,1145,1127,542,1145
"68","1676572","873814707","Mecysmauchenius sp. CASENT9026269","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209094.1",604,0,0,542,558,1145,1127,542,1145
"69","1676575","873814746","Mecysmauchenius sp. CASENT9028237","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209118.1",604,0,0,542,558,1145,1127,542,1145
"70","1676576","873814737","Mecysmauchenius sp. CASENT9028433","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209112.1",604,0,0,542,558,1145,1127,542,1145
"71","1676578","873814741","Mecysmauchenius sp. CASENT9034505","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209115.1",604,0,0,542,558,1145,1127,542,1145
"72","1676579","873814780","Mecysmauchenius sp. CASENT9053291","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209142.1",604,0,0,542,558,1145,1127,542,1145
"73","1676580","873814777","Mecysmauchenius sp. CASENT9053295","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209140.1",604,0,0,542,558,1145,1127,542,1145
"74","1676581","873814792","Mecysmauchenius sp. CASENT9053425","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209150.1",604,0,0,542,558,1145,1127,542,1145
"75","1676582","873814775","Mecysmauchenius sp. CASENT9053429","Eukaryota","Arthropoda","Araneae","Mecysmaucheniidae","Mecysmauchenius","Metazoa","Arachnida","KP209138.1",604,0,0,542,558,1145,1127,542,1145
"76","1690065","908758028","Acropora sp. SY-01","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","KP774812.1",674,0,0,442,458,1115,1097,442,1115
"77","1690066","908758030","Acropora sp. SY-02","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","KP774813.1",660,0,0,444,460,1103,1085,444,1103
"78","1690067","908758034","Acropora sp. SY-04","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","KP774815.1",659,0,0,444,460,1102,1084,444,1102
"79","1690068","908758032","Galaxea sp. SY-03","Eukaryota","Cnidaria","Scleractinia","Euphylliidae","Galaxea","Metazoa","Anthozoa","KP774814.1",606,0,0,503,519,1108,1090,503,1108
"80","1690069","908758038","Galaxea sp. SY-08","Eukaryota","Cnidaria","Scleractinia","Euphylliidae","Galaxea","Metazoa","Anthozoa","KP774818.1",606,0,0,503,519,1108,1090,503,1108
"81","1701668","917544414","Anaplecta sp. FL-2015","Eukaryota","Arthropoda","Blattodea","Anaplectidae","Anaplecta","Metazoa","Insecta","KP986325.1",701,0,0,542,558,1242,1224,542,1242
"82","1705568","1811401837","Inosperma carnosibulbosum","Eukaryota","Basidiomycota","Agaricales","Inocybaceae","Inosperma","Fungi","Agaricomycetes","NG_067705.1",605,0,0,540,556,1144,1126,540,1144
"83","1712163","927241397","Pycnophyes rugosus","Eukaryota","Kinorhyncha","Unassigned","Pycnophyidae","Pycnophyes","Metazoa","Allomalorhagida","LC081127.1",606,0,0,544,560,1149,1131,544,1149
"84","1712164","927241398","Pycnophyes ponticus","Eukaryota","Kinorhyncha","Unassigned","Pycnophyidae","Pycnophyes","Metazoa","Allomalorhagida","LC081128.1",616,0,0,559,575,1174,1156,559,1174
"85","1712165","927241399","Pycnophyes flaveolatus","Eukaryota","Kinorhyncha","Unassigned","Pycnophyidae","Pycnophyes","Metazoa","Allomalorhagida","LC081129.1",605,0,0,544,560,1148,1130,544,1148
"86","1752933","1048072120","Lecudina pellucida","Eukaryota","Apicomplexa","Eugregarinorida","Lecudinidae","Lecudina","Unassigned","Conoidasida","LN901442.1",587,0,0,522,538,1108,1090,522,1108
"87","1816077","1021016683","Microplana sp. 2 MAP-2016","Eukaryota","Platyhelminthes","Tricladida","Geoplanidae","Microplana","Metazoa","Rhabditophora","KU872604.1",607,0,0,512,528,1118,1100,512,1118
"88","1838233","1023301291","Hemipolygona mcgintyi","Eukaryota","Mollusca","Neogastropoda","Fasciolariidae","Hemipolygona","Metazoa","Gastropoda","KT753659.1",617,1,0,540,556,1156,1138,540,1156
"89","1839825","1253553584","Montipora foveolata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631102.1",625,0,0,650,666,1274,1256,650,1274
"90","1896593","1810965147","Cymbiodyta vindicata","Eukaryota","Arthropoda","Coleoptera","Hydrophilidae","Cymbiodyta","Metazoa","Insecta","MN118001.1",650,0,0,515,531,1164,1146,515,1164
"91","1917239","1253553527","Acropora paniculata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631045.1",653,0,0,550,566,1202,1184,550,1202
"92","1917240","1253553522","Acropora roseni","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631040.1",634,0,0,539,555,1172,1154,539,1172
"93","1917245","1253553509","Gyrosmilia interrupta","Eukaryota","Cnidaria","Scleractinia","Euphylliidae","Gyrosmilia","Metazoa","Anthozoa","LT631027.1",604,0,0,646,662,1249,1231,646,1249
"94","1917248","1253553599","Leptoseris fragilis","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Leptoseris","Metazoa","Anthozoa","LT631117.1",602,0,0,560,576,1161,1143,560,1161
"95","1917257","1253553579","Montipora australiensis","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631097.1",626,0,0,650,666,1275,1257,650,1275
"96","1917258","1253553588","Montipora caliculata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631106.1",626,0,0,650,666,1275,1257,650,1275
"97","1917259","1253553569","Montipora meandrina","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631087.1",625,0,0,650,666,1274,1256,650,1274
"98","1917264","1253553606","Pavona venosa","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Pavona","Metazoa","Anthozoa","LT631124.1",602,0,0,560,576,1161,1143,560,1161
"99","1917271","1253553505","Coeloseris mayeri","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Coeloseris","Metazoa","Anthozoa","LT631023.1",602,0,0,601,617,1202,1184,601,1202
"100","1918558","1253553559","Alveopora sp. GA051","Eukaryota","Cnidaria","Scleractinia","Poritidae","Alveopora","Metazoa","Anthozoa","LT631077.1",636,0,0,686,702,1321,1303,686,1321
"101","1918559","1253553560","Alveopora sp. GA144","Eukaryota","Cnidaria","Scleractinia","Poritidae","Alveopora","Metazoa","Anthozoa","LT631078.1",653,0,0,646,662,1298,1280,646,1298
"102","1918560","1253553561","Alveopora sp. GA185","Eukaryota","Cnidaria","Scleractinia","Poritidae","Alveopora","Metazoa","Anthozoa","LT631079.1",636,0,0,686,702,1321,1303,686,1321
"103","1918561","1253553594","Leptoseris sp. GA031","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Leptoseris","Metazoa","Anthozoa","LT631112.1",602,0,0,560,576,1161,1143,560,1161
"104","1918562","1253553595","Leptoseris sp. GA113","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Leptoseris","Metazoa","Anthozoa","LT631113.1",602,0,0,560,576,1161,1143,560,1161
"105","1918563","1253553596","Leptoseris sp. GA164","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Leptoseris","Metazoa","Anthozoa","LT631114.1",602,0,0,561,577,1162,1144,561,1162
"106","1928706","1815405437","Sporobolomyces sp.","Eukaryota","Basidiomycota","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Fungi","Microbotryomycetes","MN180193.1",604,0,0,505,521,1108,1090,505,1108
"107","1931424","1127298783","aff. Mermithidae sp. Ce9","Eukaryota","Nematoda","Unassigned","Unassigned","Unassigned","Metazoa","Enoplea","KX301046.1",602,0,0,439,455,1040,1022,439,1040
"108","1956548","1148357164","Stedocys pagodas","Eukaryota","Arthropoda","Araneae","Scytodidae","Stedocys","Metazoa","Arachnida","KY016687.1",604,0,0,512,528,1115,1097,512,1115
"109","1961134","1811248857","Cosmarium sp. HYU-G001","Eukaryota","Streptophyta","Desmidiales","Desmidiaceae","Cosmarium","Viridiplantae","Zygnemophyceae","LC216322.1",601,0,0,423,439,1023,1005,423,1023
"110","1975050","1177805238","Urostomides darwini","Eukaryota","Ciliophora","Metopida","Apometopidae","Urostomides","Unassigned","Armophorea","KY025570.1",579,0,0,491,507,1069,1051,491,1069
"111","198479","1048072127","Lecudina tuzetae","Eukaryota","Apicomplexa","Eugregarinorida","Lecudinidae","Lecudina","Unassigned","Conoidasida","LN901449.1",591,0,0,539,555,1129,1111,539,1129
"112","2024776","1227886386","Galiblatta cribrosa","Eukaryota","Arthropoda","Blattodea","Blaberidae","Galiblatta","Metazoa","Insecta","KY497640.1",708,0,0,547,563,1254,1236,547,1254
"113","2036684","1242015566","Lecudina caspera","Eukaryota","Apicomplexa","Eugregarinorida","Lecudinidae","Lecudina","Unassigned","Conoidasida","KY678215.1",590,0,0,433,449,1022,1004,433,1022
"114","2045402","1264232516","Lophoturus queenslandicus","Eukaryota","Arthropoda","Polyxenida","Lophoproctidae","Lophoturus","Metazoa","Diplopoda","MG210575.1",606,0,0,518,534,1123,1105,518,1123
"115","2045403","1264232514","Lophoturus sp. 1 CVH-2017","Eukaryota","Arthropoda","Polyxenida","Lophoproctidae","Lophoturus","Metazoa","Diplopoda","MG210573.1",605,0,0,518,534,1122,1104,518,1122
"116","2045404","1264232515","Lophoturus sp. 2 CVH-2017","Eukaryota","Arthropoda","Polyxenida","Lophoproctidae","Lophoturus","Metazoa","Diplopoda","MG210574.1",606,0,0,568,584,1173,1155,568,1173
"117","2049535","1817977171","Adalaria slavi","Eukaryota","Mollusca","Nudibranchia","Onchidorididae","Adalaria","Metazoa","Gastropoda","MN224105.1",616,0,0,530,546,1145,1127,530,1145
"118","2049547","1817977175","Onchimira cavifera","Eukaryota","Mollusca","Nudibranchia","Onchidorididae","Onchimira","Metazoa","Gastropoda","MN224109.1",616,0,0,513,529,1128,1110,513,1128
"119","2051765","1282188812","Sancassania sp. AD513","Eukaryota","Arthropoda","Sarcoptiformes","Acaridae","Sancassania","Metazoa","Arachnida","KY922222.1",612,0,0,541,557,1152,1134,541,1152
"120","209514","1253553542","Acropora monticulosa","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631060.1",632,0,0,539,555,1170,1152,539,1170
"121","213640","1253553570","Montipora circumvallata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631088.1",626,0,0,650,666,1275,1257,650,1275
"122","2201245","1811401762","Metschnikowia laotica","Eukaryota","Ascomycota","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Fungi","Saccharomycetes","NG_067630.1",588,0,0,475,491,1062,1044,475,1062
"123","2211141","1811248964","Babesia sp. GH2018 G1","Eukaryota","Apicomplexa","Piroplasmida","Babesiidae","Babesia","Unassigned","Aconoidasida","LC381236.1",584,0,0,400,416,983,965,400,983
"124","2268371","1447447659","Schizoptera (Lophopleurum) sp. Peru 342","Eukaryota","Arthropoda","Hemiptera","Schizopteridae","Schizoptera","Metazoa","Insecta","MF662010.1",690,0,0,102,118,791,773,102,791
"125","2269385","1430402040","Thecamoeba cosmophorea","Eukaryota","Discosea","Longamoebia","Thecamoebida","Thecamoeba","Unassigned","Unassigned","MH628647.1",628,0,0,467,483,1094,1076,467,1094
"126","2305412","1806608411","Thismia neptunis","Eukaryota","Streptophyta","Dioscoreales","Thismiaceae","Thismia","Viridiplantae","Magnoliopsida","MN067332.1",603,0,0,473,489,1075,1057,473,1075
"127","2305418","1806608409","Thismia pallida","Eukaryota","Streptophyta","Dioscoreales","Thismiaceae","Thismia","Viridiplantae","Magnoliopsida","MN067330.1",604,0,0,481,497,1084,1066,481,1084
"128","2305419","1806608403","Thismia viridistriata","Eukaryota","Streptophyta","Dioscoreales","Thismiaceae","Thismia","Viridiplantae","Magnoliopsida","MN067324.1",602,0,0,484,500,1085,1067,484,1085
"129","232718","1765903302","Placostylus hongii","Eukaryota","Mollusca","Stylommatophora","Orthalicidae","Placostylus","Metazoa","Gastropoda","MN567954.1",619,0,0,317,333,935,917,317,935
"130","246288","1253553583","Montipora spongodes","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631101.1",626,0,0,650,666,1275,1257,650,1275
"131","246293","1253553572","Montipora hispida","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631090.1",626,0,0,650,666,1275,1257,650,1275
"132","246306","1253553571","Montipora stellata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631089.1",626,0,0,650,666,1275,1257,650,1275
"133","2479809","1806608407","Thismia brunneomitra","Eukaryota","Streptophyta","Dioscoreales","Thismiaceae","Thismia","Viridiplantae","Magnoliopsida","MN067328.1",603,0,0,461,477,1063,1045,461,1063
"134","2488355","1807395351","Puccinia elymi","Eukaryota","Basidiomycota","Pucciniales","Pucciniaceae","Puccinia","Fungi","Pucciniomycetes","MT036497.1",603,0,0,537,553,1139,1121,537,1139
"135","2496135","1534499192","Collodes granosus","Eukaryota","Arthropoda","Decapoda","Inachoididae","Collodes","Metazoa","Malacostraca","MK285650.1",620,0,0,552,568,1171,1153,552,1171
"136","2499964","1806608396","Thismia sp. MS-2019","Eukaryota","Streptophyta","Dioscoreales","Thismiaceae","Thismia","Viridiplantae","Magnoliopsida","MN067317.1",604,0,0,458,474,1061,1043,458,1061
"137","2508151","1568952720","Orasema sp. ARG D4230","Eukaryota","Arthropoda","Hymenoptera","Eucharitidae","Orasema","Metazoa","Insecta","MH231710.1",661,0,0,83,99,743,725,83,743
